programcode,deptcode,coursecode,coursename,branch,duration,status
Degree,POLITICS,BA,BA,NULL,NULL,0
Degree,COMMERCE,BCom(EM),BCom(EM),NULL,NULL,0
EN,ENECE,BTECH-ECE,BTECH-ECE,NULL,4 Years,0
EN,ENCSE,BTECH-CSE,BTECH-CSE,NULL,4 Years,0
Degree,COMMERCE,BCom(TM),BCom(TM),NULL,3 years,0
EN,ENHBS,BTECH-HBS,BTECH-FIRSTYEAR,NULL,1 Year,0
PG,MBA,MBA,MBA,NULL,2 Years,0
PG,MCA,MCA,MCA,NULL,3 Years,0
Degree,TELUGU,B.Com(General),B.Com(General),NULL,3 Years,0
EN,ENEEE,BTECH-EEE,BTECH-EEE,NULL,4 Years,0
EN,ENCVL,BTECH-CVL,BTECH-CIVIL,NULL,4 Years,0
Degree,MATHS,BSc(MPC),BSc(MPC),NULL,3 Years,0
Degree,PHYSICS,BSc(MPCS),BSc(MPCS),NULL,3 Years,0
Degree,TELUGU,BA,BA,NULL,3 Years,0
Degree,CHEMISTRY,BSc(MPC)TM,BSc(MPC)TM,NULL,3 Years,0
Degree,CHEMISTRY,BSc(MPC)EM,BSc(MPC)EM,NULL,3 Years,0
Degree,ZOOLOGY,BSc(BZC),BSc(BZC),NULL,3 years,0
Degree,COMMERCE,BCom(Computers),BCom(Computers),NULL,3 years,0
EN,ENMEC,BTECH-MEC,BTECH-MECH,NULL,4 years,0
DP,DPDEC,DIPLO-DEC,Diploma in ECE,NULL,3 Years,0
DP,DPDEE,DIPLO-DEE,Diploma in EEE,NULL,3 Years,0
DP,DPDME,DIPLO-DME,Diploma in MECH,NULL,3 Years,0
UG,History,BA,BA,TM,3 Years,0
UG,PHYSICS,BSC,BSC,MPC TM,NULL,0
UG,COMMERCE,BCOM,BCOM,TM,3 Years,0
UG,MBA,BBA,BBA,EM,3 Years,0
PG,CHEMISTRY,MSC,MSC,,2 years,0
