coursecode,regulation,subjectcode,subjectname,status
BTECH-MEC,R16,BTECH-CSE-R16-COMP,Computer Science ,1
BTECH-MEC,R16,BTECH-CSE-R16-MATHS,Mathematics,1
BTECH-CSE,R13,BTECH-CSE-R13-LANG,Languages,1
BTECH-CSE,R13,BTECH-CSE-R13-HW,Hardware,1
BTECH-FST,R13,BTECH-FST-R13-PHY,Physics,1
BTECH-ECE,R13,BTECH-ECE-R13-ELEC,Electricals,1
BTECH-CSE,R13,BTECH-CSE-R13-OD,Operations design,1
BTECH-CVL,R16,BTECH-CVL-R16-PS,PROBABILITY &STATISTICS ,0
BTECH-CVL,R16,BTECH-CVL-R16-SM,STRENGTH OF MATERIALS-1,0
BTECH-CVL,R16,BTECH-CVL-R16-FM,FLUID MECHANICS ,0
BTECH-CVL,R16,BTECH-CVL-R16-BMC,BUILDING MATERIALS & CONSTRUCTION,0
BTECH-CVL,R16,BTECH-CVL-R16-S-1,SURVEYING-I ,0
BTECH-CVL,R16,BTECH-CVL-R16-BEE,BASIC ELECTRICAL AND ELECTRONICS,0
BTECH-CVL,R16,BTECH-CVL-R16-PEHV,PROFESSIONAL ETHICS AND HUMAN VALUES,0
BTECH-CVL,R16,BTECH-CVL-R16-S-LAB,SURVEYING LAB ,0
BTECH-CVL,R16,BTECH-CVL-R16-SM-LAB,STRENGTH OF MATERIALS LAB,0
BTECH-CVL,R16,BTECH-CVL-R16-TRANSPORTATIONENGINEERINGâ€“II,TRANSPORTATION ENGINEERING â€“II,0
BTECH-CVL,R16,BTECH-CVL-R16-ENGINEERINGGEOLOGY,ENGINEERING GEOLOGY,0
BTECH-CVL,R16,BTECH-CVL-R16-MANAGEMENTSCIENCE,MANAGEMENT SCIENCE,0
BTECH-CVL,R16,BTECH-CVL-R16-DESIGNANDDRAWINGOFSTRUCTURES,DESIGN AND DRAWING OF CONCTRETE STRUCTURES,0
BTECH-CVL,R16,BTECH-CVL-R16-STRUCTURALANALYSIS-II,STRUCTURAL ANALYSIS-II,0
BTECH-CVL,R16,BTECH-CVL-R16-CONCRETETECHNOLOGYLAB,CONCRETE TECHNOLOGYLAB,0
BTECH-CVL,R16,BTECH-CVL-R16-TRANSPORTATIONENGINEERINGLAB,TRANSPORTATION ENGINEERING LAB,0
BTECH-CVL,R16,BTECH-CVL-R16-ENGINEERINGGEOLOGYLAB,ENGINEERING GEOLOGY LAB,0
BTECH-CVL,R13,BTECH-CVL-R13-RSGA,REMOTE SENSING & GIS APPLICATIONS,0
BTECH-CVL,R13,BTECH-CVL-R13-PSC,PRE STRESSED CONCRETE,0
BTECH-CVL,R13,BTECH-CVL-R13-EE,ENVIRONMENTAL ENGINEERING II,0
BTECH-CVL,R16,BTECH-CVL-R16-WRE,WATER RESOURCES ENGINEERING II,0
BTECH-CVL,R13,BTECH-CVL-R13-GIT,GROUND IMPROVEMENT TECHNIQUES,0
BTECH-CVL,R13,BTECH-CVL-R13-CTM,CONSTRUCTION TECHNOLOGY AND MANAGEMENT,0
BTECH-CVL,R13,BTECH-CVL-R13-EELAB,ENVIRONMENTAL ENGINEERING LAB,0
BTECH-CVL,R13,BTECH-CVL-R13-GISCAD,GIS AND CAD LAB,0
BTECH-CSE,R16,BTECH-CSE-R16-SRP,STATISTICS WITH R-PROGRAMMING,0
BTECH-CSE,R16,BTECH-CSE-R16-DSCPP,DATA STRUCTURES THROUGH C++,0
BTECH-CSE,R13,BTECH-CSE-R13-PROG,PYTHON-PROGRAMMING,1
BTECH-CSE,R16,BTECH-CSE-R16-PYTHON,PYTHON-PROGRAMMING,0
BTECH-CSE,R16,BTECH-CSE-R16-CG,COMPUTER GRAPHICS,0
BTECH-CSE,R16,BTECH-CSE-R16-MFCS,MFCS,0
BTECH-CSE,R13,BTECH-CSE-R13-DLD,DLD,1
BTECH-CSE,R16,BTECH-CSE-R16-DLD,DLD,0
BTECH-CSE,R16,BTECH-CSE-R16-DSLAB,DS THROUGH C++ LAB,0
BTECH-CSE,R16,BTECH-CSE-R16-PYTHONLAB,PYTHON-PROGRAMMING LAB,0
BTECH-CSE,R16,BTECH-CSE-R16-UNIX,UNIX PROGRAMMING,0
BTECH-CSE,R16,BTECH-CSE-R16-CD,COMLIPER DESIGN,0
BTECH-CSE,R16,BTECH-CSE-R16-DBMS,DBMS,0
BTECH-CSE,R16,BTECH-CSE-R16-OS,OPEARTING SYSTEMS,0
BTECH-CSE,R16,BTECH-CSE-R16-OOAD,OOAD,0
BTECH-CSE,R16,BTECH-CSE-R16-PE,PROFESSIONAL ETHICS,0
BTECH-CSE,R16,BTECH-CSE-R16-OSLAB,OS & LINUX LAB,0
BTECH-CSE,R16,BTECH-CSE-R16-DBMSLAB,DBMS LAB,0
BTECH-CSE,R16,BTECH-CSE-R16-OOADLAB,OOAD USING UML LAB,0
BTECH-CSE,R13,BTECH-CSE-R13-CNS,CRYPTOGRAPHY AND NETWORK SECURITY,0
BTECH-CSE,R13,BTECH-CSE-R13-MC,MOBILE COMPUTING,0
BTECH-CSE,R13,BTECH-CSE-R13-STM,SOFTWARE TESTING METHODLOGIES,0
BTECH-CSE,R13,BTECH-CSE-R13-HADOOP,HADOOP AND BIG DATA,0
BTECH-CSE,R13,BTECH-CSE-R13-UML,UNIFIED MODELING LANGUAGE,0
BTECH-CSE,R13,BTECH-CSE-R13-MADLAB,MAD LAB,0
BTECH-CSE,R13,BTECH-CSE-R13-STMLAB,STM LAB,0
BTECH-CSE,R13,BTECH-CSE-R13-UMLLAB,UMLLAB,0
BTECH-CSE,R13,BTECH-CSE-R13-HADOOPLAB,HADOOP AND BIG DATA LAB,0
BTECH-EEE,R16,BTECH-EEE-R16-EEE,EEE,0
BTECH-EEE,R13,BTECH-EEE-R13-EEE,EEE,0
BTECH-ECE,R13,BTECH-ECE-R13-ECE,ECE,0
BTECH-ECE,R16,BTECH-ECE-R16-ECE,ECE,0
BTECH-MEC,R13,BTECH-MEC-R13-MEC,MEC,0
BTECH-MEC,R16,BTECH-MEC-R16-MEC,MEC,0
BTECH-CVL,R13,BTECH-CVL-R13-EIAM,ENVIRONMENTAL IMPACT ASSESSMENT AND MANAGEMENT,0
BTECH-CVL,R13,BTECH-CVL-R13-ESC,ESTIMATING SPECIFICATIONS AND CONTRACTS,0
BTECH-CVL,R13,BTECH-CVL-R13-RARS,REPAIR  AND REHABILTATION OF STRUCTURES,0
BTECH-CVL,R13,BTECH-CVL-R13-WSM,WATER SHED MANAGEMENT,0
BTECH-CVL,R13,BTECH-CVL-R13-IT,INDUSTRIAL TRAINING,0
BTECH-CVL,R13,BTECH-CVL-R13-GAAR,GENERAL AWARENESS,ARTHEMATIC AND REASONING,0
BTECH-CVL,R16,BTECH-CVL-R16-DADSS,DESIGN AND DRAWING OF STEEL STRUCTURES,0
BTECH-CVL,R16,BTECH-CVL-R16-GE-1,GEOTECHNICAL ENGINEERING-I,0
