sno,adate,rollno,h1,h2,h3,h4,h5,h6,h7,h8,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,remarks
885,2019-01-29,183B5A0501,a,a,p,NULL,NULL,NULL,NULL,NULL,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,NULL,NULL,NULL,NULL,NULL,NULL
886,2019-01-29,183B5A0502,a,a,p,NULL,NULL,NULL,NULL,NULL,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,NULL,NULL,NULL,NULL,NULL,NULL
887,2019-01-29,183B5A0503,p,p,a,NULL,NULL,NULL,NULL,NULL,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,NULL,NULL,NULL,NULL,NULL,NULL
888,2019-01-29,183B5A0504,p,p,p,NULL,NULL,NULL,NULL,NULL,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,NULL,NULL,NULL,NULL,NULL,NULL
889,2019-01-29,183B5A0505,p,p,p,NULL,NULL,NULL,NULL,NULL,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,NULL,NULL,NULL,NULL,NULL,NULL
890,2019-01-29,183B5A0506,p,p,p,NULL,NULL,NULL,NULL,NULL,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,NULL,NULL,NULL,NULL,NULL,NULL
891,2019-01-29,173B1A0501,p,p,p,NULL,NULL,NULL,NULL,NULL,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,NULL,NULL,NULL,NULL,NULL,NULL
892,2019-01-29,173B1A0502,p,p,p,NULL,NULL,NULL,NULL,NULL,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,NULL,NULL,NULL,NULL,NULL,NULL
893,2019-01-29,173B1A0503,p,p,p,NULL,NULL,NULL,NULL,NULL,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,NULL,NULL,NULL,NULL,NULL,NULL
894,2019-01-29,173B1A0504,p,p,p,NULL,NULL,NULL,NULL,NULL,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,BTECH-CSE-R16-2-2-A-05,NULL,NULL,NULL,NULL,NULL,NULL
