sno,invno,price,adate,credits,debits,program
1,780690-124820,661,2019-01-01,2000,0,NULL
2,NULL,NULL,2019-01-02,0,632,UG
10,NULL,NULL,2019-01-03,0,457,UG
14,NULL,NULL,2019-01-04,0,158,UG
15,NULL,NULL,2019-01-05,0,207,UG
16,NULL,NULL,2019-01-07,0,248,UG
18,780690-126728,2950,2019-01-07,10000,0,UG
19,NULL,NULL,2019-01-08,0,199,UG
22,NULL,NULL,2019-01-09,0,224,UG
23,NULL,NULL,2019-01-10,0,204,UG
24,NULL,NULL,2019-01-11,0,379,UG
25,NULL,NULL,2019-01-21,0,387,UG
26,NULL,NULL,2019-01-22,0,263,UG
27,NULL,NULL,2019-01-23,0,222,UG
28,NULL,NULL,2019-01-24,0,176,UG
29,NULL,NULL,2019-01-25,0,252,UG
30,NULL,NULL,2019-01-28,0,478,UG
31,NULL,NULL,2019-01-29,0,376,UG
32,NULL,NULL,2019-01-30,0,381,UG
33,NULL,NULL,2019-01-31,0,379,UG
34,NULL,NULL,2019-02-02,0,452,UG
35,NULL,NULL,2019-02-04,0,383,UG
36,NULL,NULL,2019-02-05,0,391,UG
37,NULL,NULL,2019-02-06,0,401,UG
38,NULL,NULL,2019-02-07,0,444,UG
39,NULL,NULL,2019-02-08,0,396,UG
40,NULL,NULL,2019-02-09,0,579,UG
41,NULL,NULL,2019-02-28,0,534,UG
42,NULL,NULL,2019-03-01,0,527,UG
43,NULL,NULL,2019-03-02,0,594,UG
44,NULL,NULL,2019-03-05,0,460,UG
45,NULL,NULL,2019-03-06,0,454,UG
46,NULL,NULL,2019-03-07,0,555,UG
